,x,y
1,-73.79406999999999,40.67528
2,-73.74795,40.681340000000006
3,-73.81012,40.683125
4,-73.99320999999999,40.633582000000004
5,-73.714034,42.731487
6,-73.75350999999999,40.66303
7,-73.79093,40.6675
8,-73.705936,42.726603999999995
9,-73.70730999999999,42.7264
11,-73.70716,42.72939
12,-73.926849,40.853621999999994
13,-73.70215999999999,42.730470000000004
14,-73.70199000000001,42.724270000000004
15,-73.753948,42.657325
16,-73.76,42.656814000000004
17,-73.7641,42.663825
18,-73.7641,42.663825
19,-73.764225,42.663906
20,-73.764225,42.663906
21,-73.777294,42.669852
22,-73.778035,42.67015
23,-73.778035,42.67015
24,-73.71365899999999,42.731390999999995
27,-73.73208299999999,40.759161999999996
28,-73.8629,40.89728
29,-73.71373,42.731224
30,-73.704008,42.735845
31,-73.762946,42.64067
32,-73.713912,42.732057
33,-73.71373,42.731224
35,-73.70087,42.73173
36,-73.700796,42.734061
37,-73.700796,42.734061
38,-73.71386899999999,42.73131
39,-73.76,42.656814000000004
40,-73.75983599999999,42.657149
41,-73.75992,42.656959
42,-73.918,40.76599
43,-73.76289399999999,42.640648
44,-73.70992,42.70953
45,-73.70992,42.70953
46,-73.71389,42.73149
47,-73.71386899999999,42.73131
48,-73.714258,42.731939000000004
49,-73.701528,42.736422999999995
51,-73.75652,42.63882
52,-73.67349,42.778040000000004
53,-73.67349,42.778040000000004
54,-73.704,42.730281
55,-73.71389,42.73149
58,-74.00504000000001,40.64127
59,-73.92374000000001,40.65187
60,-73.70976,42.71235
61,-73.7069,42.71707
62,-73.7039,42.73584
63,-73.7039,42.73584
64,-73.703967,42.736311
65,-73.703967,42.736311
66,-73.703967,42.736311
67,-73.708744,42.711808000000005
68,-73.713912,42.732057
69,-73.714258,42.731939000000004
70,-73.708411,42.716390000000004
71,-73.71389,42.73149
72,-73.71386899999999,42.73131
73,-73.715111,42.708971000000005
74,-73.708558,42.734784999999995
76,-73.83378,42.681036999999996
77,-73.85396300000001,42.727844
78,-73.85396300000001,42.727844
79,-73.788886,42.669902
80,-73.788886,42.669902
81,-73.787287,42.671197
82,-73.785995,42.672602000000005
83,-73.792307,42.666409
84,-73.792307,42.666409
85,-73.792307,42.666409
86,-73.792781,42.666104
87,-73.79782,42.66039
88,-73.79407900000001,42.655392
89,-73.800414,42.658445
90,-73.85587,40.808409999999995
91,-73.99328,42.635740000000006
92,-73.827853,42.677964
93,-73.827853,42.677964
94,-73.81141,42.66708
95,-73.81141,42.66708
96,-73.78027800000001,42.673165000000004
97,-73.89505,42.47894
98,-74.051542,41.453165999999996
99,-73.714034,42.731487
